timestep,message
12,"[Pogoda] Wiatr: 2.7 km/h | Słońce: 77%
[Produkcja] OZE: 0.7 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.7 MW | Stan: CRITICAL"
11,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
11,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
11,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
13,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
13,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
13,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
13,"[Pogoda] Wiatr: 2.7 km/h | Słońce: 75%
[Produkcja] OZE: 0.7 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.7 MW | Stan: CRITICAL"
12,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
12,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
1781010522,Predictor: zmiana mocy OZE o 1.7 MW w ciągu 5 kroków
12,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
1781010522,Predictor: zmiana mocy OZE o -0.9 MW w ciągu 5 kroków
14,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
14,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
14,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
14,"[Pogoda] Wiatr: 0.9 km/h | Słońce: 84%
[Produkcja] OZE: 0.1 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.1 MW | Stan: CRITICAL"
13,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
13,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
13,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
15,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
15,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
15,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
15,"[Pogoda] Wiatr: 0.0 km/h | Słońce: 89%
[Produkcja] OZE: 0.0 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.0 MW | Stan: CRITICAL"
14,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
14,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
14,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
1781010522,Predictor: zmiana mocy OZE o -5.8 MW w ciągu 5 kroków
1781010522,Predictor: zmiana mocy OZE o 7.5 MW w ciągu 5 kroków
16,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
16,"LoadShed: odłączono industrial (priorytet 2, 40.0 MW)"
16,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
16,"[Pogoda] Wiatr: 3.8 km/h | Słońce: 86%
[Produkcja] OZE: 1.4 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 51.0 MW | Bilans: 1.4 MW | Stan: CRITICAL"
15,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
15,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
15,industrial: przydzielono 0.00 / 40.00 MW [LoadShed]
17,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
17,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
17,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
17,"[Pogoda] Wiatr: 3.4 km/h | Słońce: 72%
[Produkcja] OZE: 1.2 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 1.2 MW | Stan: CRITICAL"
16,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
1781010522,Predictor: zmiana mocy OZE o 3.4 MW w ciągu 5 kroków
16,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
16,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
18,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
18,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
18,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
18,"[Pogoda] Wiatr: 1.1 km/h | Słońce: 80%
[Produkcja] OZE: 0.1 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.1 MW | Stan: CRITICAL"
17,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
17,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
1781010522,Predictor: zmiana mocy OZE o -5.4 MW w ciągu 5 kroków
17,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
19,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
