timestep,message
42,"[Pogoda] Wiatr: 2.9 km/h | Słońce: 91%
[Produkcja] OZE: 0.8 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.8 MW | Stan: CRITICAL"
41,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
41,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
41,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
1781010525,Predictor: zmiana mocy OZE o -0.1 MW w ciągu 5 kroków
43,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
43,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
43,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
43,"[Pogoda] Wiatr: 2.7 km/h | Słońce: 96%
[Produkcja] OZE: 0.8 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 48.0 MW | Bilans: 0.8 MW | Stan: CRITICAL"
42,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
42,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
42,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
44,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
44,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
44,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
1781010525,Predictor: zmiana mocy OZE o -0.1 MW w ciągu 5 kroków
44,"[Pogoda] Wiatr: 2.3 km/h | Słońce: 100%
[Produkcja] OZE: 0.5 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 0.5 MW | Stan: CRITICAL"
43,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
43,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
43,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
1781010525,Predictor: zmiana mocy OZE o -1.5 MW w ciągu 5 kroków
45,"LoadShed: odłączono residential (priorytet 3, 10.0 MW)"
45,"LoadShed: odłączono industrial (priorytet 2, 5.0 MW)"
45,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
44,residential: przydzielono 0.00 / 10.00 MW [LoadShed]
45,"[Pogoda] Wiatr: 2.2 km/h | Słońce: 92%
[Produkcja] OZE: 0.5 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 23.0 MW | Bilans: 0.5 MW | Stan: CRITICAL"
44,industrial: przydzielono 0.00 / 5.00 MW [LoadShed]
44,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
